id,order,size,cr,lambda_2,lambda_2_mult,lcr,ucr,lambda_n,lambda_n_mult,edge_orbits,vertex_orbits,group_size,bipartite,regular,1_walk_regular
32569,11,43,False,7.0,6,False,True,11.0,4,3.0,2.0,6912.0,0.0,0.0,False
32593,11,34,False,4.0,6,False,True,11.0,4,2.0,2.0,120960.0,0.0,0.0,False
32641,11,27,False,3.0,7,False,True,11.0,3,2.0,2.0,241920.0,0.0,0.0,False
32752,11,20,False,1.0,1,True,False,8.372281,1,2.0,3.0,192.0,1.0,0.0,False
50503,11,15,False,1.0,2,True,False,5.302776,1,3.0,3.0,6.0,0.0,0.0,False
50578,11,11,True,0.317493,2,True,True,3.918986,2,1.0,1.0,22.0,0.0,1.0,True
51334,11,40,False,7.0,6,False,True,11.0,2,2.0,2.0,6912.0,0.0,0.0,False
53895,11,18,True,2.0,8,True,True,11.0,1,1.0,2.0,725760.0,1.0,0.0,False
53896,11,24,True,3.0,7,True,True,11.0,1,1.0,2.0,241920.0,1.0,0.0,False
53897,11,28,True,4.0,6,True,True,11.0,1,1.0,2.0,120960.0,1.0,0.0,False
53898,11,30,True,5.0,5,True,True,11.0,1,1.0,2.0,86400.0,1.0,0.0,False
86,12,11,True,1.0,10,True,True,12.0,1,1.0,2.0,39916800.0,1.0,0.0,False
1024,12,24,True,2.0,3,True,True,6.0,5,1.0,1.0,48.0,0.0,1.0,True
1086,12,18,False,1.267949,2,False,True,6.0,1,2.0,1.0,48.0,1.0,1.0,False
1186,12,30,True,2.763932,3,True,True,7.236068,3,1.0,1.0,120.0,0.0,1.0,True
32780,12,66,True,12.0,11,True,True,12.0,11,1.0,1.0,479001600.0,0.0,1.0,True
32782,12,51,False,6.0,5,False,True,12.0,6,2.0,2.0,518400.0,0.0,0.0,False
32788,12,60,True,10.0,6,True,True,12.0,5,1.0,1.0,46080.0,0.0,1.0,True
32794,12,30,True,4.0,5,True,True,10.0,1,1.0,1.0,1440.0,1.0,1.0,True
32798,12,18,False,1.0,2,False,True,6.0,1,2.0,1.0,24.0,1.0,1.0,False
32802,12,36,True,5.0,6,True,True,9.0,2,1.0,1.0,144.0,0.0,1.0,True
32806,12,24,True,2.0,2,True,True,8.0,1,1.0,1.0,768.0,1.0,1.0,True
32830,12,24,False,2.0,1,False,True,8.0,1,2.0,1.0,144.0,1.0,1.0,False
32866,12,21,False,2.0,9,False,True,12.0,2,2.0,2.0,7257600.0,0.0,0.0,False
32868,12,54,True,9.0,8,True,True,12.0,3,1.0,1.0,31104.0,0.0,1.0,True
32874,12,48,True,8.0,9,True,True,12.0,2,1.0,1.0,82944.0,0.0,1.0,True
32886,12,36,True,6.0,10,True,True,12.0,1,1.0,1.0,1036800.0,1.0,1.0,True
32988,12,24,False,2.0,3,False,True,6.0,5,3.0,2.0,32.0,0.0,1.0,False
33221,12,30,False,4.0,6,True,False,8.0,3,2.0,1.0,48.0,0.0,1.0,False
33223,12,36,False,4.0,3,False,True,8.0,6,2.0,1.0,48.0,0.0,1.0,False
33319,12,24,False,3.0,6,True,False,7.0,2,2.0,1.0,48.0,0.0,1.0,False
33393,12,36,False,4.0,2,False,True,9.0,2,2.0,1.0,48.0,0.0,1.0,False
33397,12,36,False,4.0,1,False,True,9.0,2,3.0,2.0,24.0,0.0,1.0,False
33530,12,24,False,2.0,2,False,True,6.0,4,5.0,3.0,16.0,0.0,1.0,False
33532,12,24,False,2.0,2,False,True,6.0,4,2.0,2.0,16.0,0.0,1.0,False
33633,12,18,False,1.0,2,True,False,7.645751,1,3.0,4.0,12.0,1.0,0.0,False
44176,12,18,False,0.438447,1,False,True,6.0,1,3.0,2.0,64.0,1.0,1.0,False
50579,12,12,True,0.267949,2,True,True,4.0,1,1.0,1.0,24.0,1.0,1.0,True
52408,12,24,False,2.267949,2,False,True,8.0,1,2.0,1.0,24.0,1.0,1.0,False
53899,12,20,True,2.0,9,True,True,12.0,1,1.0,2.0,7257600.0,1.0,0.0,False
53900,12,27,True,3.0,8,True,True,12.0,1,1.0,2.0,2177280.0,1.0,0.0,False
53901,12,32,True,4.0,7,True,True,12.0,1,1.0,2.0,967680.0,1.0,0.0,False
53902,12,35,True,5.0,6,True,True,12.0,1,1.0,2.0,604800.0,1.0,0.0,False
53932,12,18,False,1.0,1,False,True,6.0,1,4.0,2.0,8.0,1.0,1.0,False
53941,12,18,False,0.763932,1,False,True,6.0,1,4.0,5.0,12.0,1.0,1.0,False
54266,12,36,False,4.0,1,False,True,9.0,2,3.0,1.0,24.0,0.0,1.0,False
54386,12,16,True,0.763932,2,True,True,6.0,1,1.0,2.0,128.0,1.0,0.0,False
54387,12,18,True,1.354249,2,True,True,8.0,1,1.0,2.0,1296.0,1.0,0.0,False
54388,12,24,True,2.438447,3,True,True,9.0,1,1.0,2.0,384.0,1.0,0.0,False
